month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
201702,91910,"chula vista, ca",nan,495000,nan,nan,62,nan,nan,31,nan,nan,40,nan,nan,0,nan,nan,20,nan,nan,7,nan,nan,289.5781333,nan,nan,1656,nan,nan,548359,nan,nan,69,nan,nan,0.1129,nan,nan
201701,91910,"chula vista, ca",nan,480500,nan,nan,65,nan,nan,39,nan,nan,64,nan,nan,4,nan,nan,12,nan,nan,7,nan,nan,287.5194184,nan,nan,1594,nan,nan,507610,nan,nan,72,nan,nan,0.1077,nan,nan
201701,92110,"san diego, ca",nan,596050,nan,nan,25,nan,nan,35.5,nan,nan,24,nan,nan,0,nan,nan,0,nan,nan,3,nan,nan,403.1703591,nan,nan,1315,nan,nan,622122,nan,nan,28,nan,nan,0.12,nan,nan
201612,91910,"chula vista, ca",nan,472500,nan,nan,68,nan,nan,35,nan,nan,24,nan,nan,4,nan,nan,12,nan,nan,10,nan,nan,300,nan,nan,1494.5,nan,nan,497400,nan,nan,78,nan,nan,0.1471,nan,nan
201612,92110,"san diego, ca",nan,585050,nan,nan,32,nan,nan,43,nan,nan,8,nan,nan,0,nan,nan,4,nan,nan,3,nan,nan,395.0677285,nan,nan,1315,nan,nan,606005,nan,nan,35,nan,nan,0.0938,nan,nan
201611,92110,"san diego, ca",nan,577050,nan,nan,39,nan,nan,46,nan,nan,12,nan,nan,0,nan,nan,4,nan,nan,2,nan,nan,383.520774,nan,nan,1316.5,nan,nan,642160,nan,nan,41,nan,nan,0.0513,nan,nan
201611,91910,"chula vista, ca",nan,475050,nan,nan,74,nan,nan,38,nan,nan,40,nan,nan,8,nan,nan,24,nan,nan,11,nan,nan,276.612196,nan,nan,1611,nan,nan,491728,nan,nan,85,nan,nan,0.1486,nan,nan
201610,92110,"san diego, ca",nan,510050,nan,nan,42,nan,nan,28,nan,nan,32,nan,nan,0,nan,nan,16,nan,nan,2,nan,nan,384.0058337,nan,nan,1331,nan,nan,638209,nan,nan,44,nan,nan,0.0476,nan,nan
201610,91910,"chula vista, ca",nan,475050,nan,nan,87,nan,nan,29,nan,nan,48,nan,nan,0,nan,nan,52,nan,nan,12,nan,nan,276.2770138,nan,nan,1570,nan,nan,494169,nan,nan,99,nan,nan,0.1379,nan,nan
201609,91910,"chula vista, ca",nan,477050,nan,nan,83,nan,nan,24,nan,nan,56,nan,nan,0,nan,nan,36,nan,nan,15,nan,nan,277.9929307,nan,nan,1567,nan,nan,496231,nan,nan,98,nan,nan,0.1807,nan,nan
201609,92110,"san diego, ca",nan,500050,nan,nan,50,nan,nan,41,nan,nan,20,nan,nan,0,nan,nan,28,nan,nan,2,nan,nan,389.4972938,nan,nan,1331,nan,nan,622416,nan,nan,52,nan,nan,0.04,nan,nan
201608,92110,"san diego, ca",nan,492500,nan,nan,61,nan,nan,28,nan,nan,36,nan,nan,0,nan,nan,20,nan,nan,3,nan,nan,386.9459057,nan,nan,1279,nan,nan,601216,nan,nan,64,nan,nan,0.0492,nan,nan
201608,91910,"chula vista, ca",nan,492050,nan,nan,79,nan,nan,25,nan,nan,64,nan,nan,4,nan,nan,32,nan,nan,15,nan,nan,281.9850498,nan,nan,1712.5,nan,nan,520623,nan,nan,94,nan,nan,0.1899,nan,nan
201607,91910,"chula vista, ca",nan,490050,nan,nan,80,nan,nan,28,nan,nan,60,nan,nan,4,nan,nan,44,nan,nan,13,nan,nan,279.9433026,nan,nan,1676,nan,nan,542800,nan,nan,93,nan,nan,0.1625,nan,nan
201607,92110,"san diego, ca",nan,469950,nan,nan,54,nan,nan,23,nan,nan,40,nan,nan,0,nan,nan,16,nan,nan,3,nan,nan,389.9147727,nan,nan,1285,nan,nan,590345,nan,nan,57,nan,nan,0.0556,nan,nan
