month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
201902,92110,"san diego, ca",nan,564550,0.0473,-0.0391,45,-0.1,0.5517,28,-0.2329,0.0182,24,-0.3333,-0.1429,0,nan,nan,16,-0.3333,3,2,0,nan,462.228588,0.0642,0.0487,1174,0.0459,-0.1799,691122,0.0777,-0.0604,47,-0.0962,0.6207,0.0444,0.0044,0.0444
201901,91910,"chula vista, ca",nan,548050,-0.0018,-0.0377,76,0.0411,0.3103,42.5,-0.0116,0.2687,48,0.2,0,0,nan,nan,28,0.1667,0.75,5,0.6667,1.5,309.0435914,0.0098,-0.0013,1597,-0.0368,-0.1043,604082,0.0297,-0.0223,81,0.0658,0.35,0.0658,0.0247,0.0313
201901,92110,"san diego, ca",nan,539050,-0.0182,-0.046,50,-0.1071,0.6667,36.5,0.0139,0.0896,36,0.8,0.2857,0,nan,nan,24,0.2,2,2,nan,1,434.3434343,-0.0149,0.058,1122.5,-0.0852,-0.1298,641302,0.005,0.0293,52,-0.0714,0.6774,0.04,0.04,0.0067
201812,92110,"san diego, ca",nan,549050,0.066,-0.0108,56,-0.1642,0.75,36,0.2203,0.125,20,-0.375,-0.1667,0,nan,nan,20,0,0.6667,0,nan,-1,440.9090909,0.011,0.0658,1227,0,0.0434,638142,7.00E-04,0.0542,56,-0.1642,0.697,0,0,-0.0313
201812,91910,"chula vista, ca",nan,549050,-0.0016,-0.0367,73,-0.1205,0.4038,43,0.303,0.303,40,0,0.4286,0,nan,nan,24,-0.5,1,3,0,0.5,306.0303894,-0.0036,-0.0307,1658,-0.0184,-0.0553,586683,-0.0335,-0.1005,76,-0.1163,0.4074,0.0411,0.005,0.0026
201811,92110,"san diego, ca",nan,515050,-0.019,0.097,67,-0.029,0.8108,29.5,0.2553,0.2292,32,-0.3333,0.1429,0,nan,nan,20,-0.1667,0.6667,0,nan,nan,436.1073007,-0.0121,0.0789,1227,0.0111,0.0434,637712,-5.00E-04,0.0878,67,-0.029,0.8108,0,0,0
201811,91910,"chula vista, ca",*,549950,8.00E-04,nan,83,0.0506,nan,33,0.3469,nan,40,-0.0909,0.1111,0,-1,-1,48,0,2,3,0,0,307.1222332,-0.0121,-0.0337,1689,0.0105,-0.0307,606989,-0.0595,-0.049,86,0.0488,0.5088,0.0361,-0.0018,-0.0194
201810,91910,"chula vista, ca",nan,549500,8.00E-04,-0.0188,79,0.026,0.4107,24.5,-0.2097,0.2895,44,-0.1538,0,4,nan,0,48,0.2,0.7143,3,0,0,310.8712078,-8.00E-04,0.0205,1671.5,-0.0104,-0.0503,645410,0.0081,0.0466,82,0.025,0.3898,0.038,-0.001,-0.0156
201810,92110,"san diego, ca",*,525050,-0.186,nan,69,0.2545,nan,23.5,-0.1897,nan,48,0.7143,0.5,0,nan,nan,24,-0.1429,5,0,nan,-1,441.4326311,-0.0167,0.1207,1213.5,-0.1332,0.0319,638060,-0.0882,0.0737,69,0.2545,1.0909,0,0,-0.0313
201809,91910,"chula vista, ca",nan,549050,-0.0107,-0.0018,77,-0.0253,0.3276,31,0.1273,0.0333,52,-0.0714,0.3,0,nan,-1,40,0.25,0.25,3,0,0,311.1111111,0.0045,0.0621,1689,0.0286,-0.076,640247,0.0221,0.0537,80,-0.0244,0.3115,0.039,0.001,-0.0128
201809,92110,"san diego, ca",nan,645050,-0.0275,0.2913,55,-0.0179,0.4865,29,0.0175,-0.0938,28,-0.2222,-0.2222,0,-1,nan,28,0.4,1.3333,0,-1,-1,448.9225858,-0.0388,0.1432,1400,0,0.1085,699790,-0.048,0.0576,55,-0.0351,0.375,0,-0.0179,-0.0811
201808,92110,"san diego, ca",nan,663300,-0.1085,0.3846,56,0.0769,0.4359,28.5,0.2955,-0.24,36,-0.1818,0.2857,4,nan,nan,20,-0.1667,0.25,1,0,0,467.040061,-0.0195,0.2007,1400,0.0279,0.0518,735062,-0.0654,0.0216,57,0.0755,0.425,0.0179,-0.0014,-0.0078
201808,91910,"chula vista, ca",nan,555000,0.0045,-0.0432,79,0.1286,0.2344,27.5,0.1702,0.1702,56,0,0.1667,0,nan,nan,32,0,0.1429,3,2,-0.25,309.7078671,0.0263,0.0398,1642,-0.0048,-0.1457,626410,-0.0123,-0.0186,82,0.1549,0.2059,0.038,0.0237,-0.0245
201807,92110,"san diego, ca",nan,744050,0.0629,0.0055,52,0.1556,0.6774,22,-0.0833,-0.3714,44,0.2222,1.75,0,nan,nan,24,-0.1429,2,1,0,0,476.3266473,0.0101,0.1167,1362,-0.0678,-0.1224,786466,0.019,2.00E-04,53,0.1522,0.6563,0.0192,-0.003,-0.013
201807,91910,"chula vista, ca",nan,552500,-0.017,-0.0135,70,0.1667,0.1475,23.5,-0.06,-0.06,56,0.0769,0.0769,0,-1,-1,32,0.3333,0.6,1,-0.6667,-0.75,301.7783517,-0.0235,0.0132,1650,0,-0.1366,634232,0.0184,-0.0117,71,0.127,0.0923,0.0143,-0.0357,-0.0513
201806,91910,"chula vista, ca",nan,562050,0.0037,0.0218,60,0.1111,-0.2105,25,0.1628,0.1364,52,-0.0714,-0.2778,8,nan,1,24,0.5,-0.25,3,-0.25,0,309.0322581,-0.0031,0.0268,1650,0.0116,-0.1124,622773,0.0089,-0.0289,63,0.0862,-0.2025,0.05,-0.0241,0.0105
201806,92110,"san diego, ca",nan,700049,0.0182,0.1033,45,0.4516,0.3235,24,1,0.0213,36,-0.1818,0,0,nan,nan,28,2.5,0.75,1,0,-0.5,471.5568862,0.0015,0.1536,1461,-0.0112,-0.0608,771781,-0.0073,0.0485,46,0.4375,0.2778,0.0222,-0.01,-0.0366
201805,91910,"chula vista, ca",nan,560000,0.02,0.0044,54,-0.1148,-0.2286,21.5,0.0238,-0.0652,56,0,0,0,-1,-1,16,-0.2,-0.3333,4,0.3333,-0.4286,310.0054931,-0.0151,0.0705,1631,-0.0175,-0.1816,617270,0.0272,-0.0584,58,-0.0938,-0.2468,0.0741,0.0249,-0.0259
201805,92110,"san diego, ca",nan,687550,0.1956,0.1772,31,0.3478,0.0333,12,-0.4,-0.3333,44,0.8333,0.5714,0,nan,nan,8,0,0,1,-0.5,-0.5,470.8706562,0.0625,0.1425,1477.5,0.0572,-0.0387,777484,0.0282,0.1051,32,0.28,0,0.0323,-0.0547,-0.0344
201804,92110,"san diego, ca",nan,575050,-0.08,0,23,-0.1786,-0.2333,20,0,0.1111,24,-0.1429,-0.25,0,nan,nan,8,-0.5,0,2,1,0,443.1665632,-0.0037,0.1053,1397.5,-0.0227,-0.0295,756152,0.0087,0.1199,25,-0.1379,-0.2188,0.087,0.0512,0.0203
201804,91910,"chula vista, ca",nan,549045,0,0.0477,61,0.1091,-0.1286,21,0.1053,-0.125,56,0.1667,-0.125,4,0,0,20,-0.2857,-0.2857,3,0,-0.5714,314.7488124,-0.0118,0.0954,1660,0.0349,-0.1099,600921,0.0195,-0.0487,64,0.1034,-0.1688,0.0492,-0.0054,-0.0508
201803,92110,"san diego, ca",nan,625050,0.0638,0.1062,28,-0.0345,0.12,20,-0.2727,-0.2157,28,0,0,0,nan,nan,16,3,1,1,nan,-0.5,444.8160535,0.0092,0.1086,1430,-0.001,0.1408,749642,0.0192,0.245,29,0,0.0741,0.0357,0.0357,-0.0443
201803,91910,"chula vista, ca",nan,549050,-0.0108,0.0468,55,0.1702,-0.1667,19,-0.1915,-0.4648,48,0.5,-0.2,4,0,0,28,1.3333,1.3333,3,0,-0.5,318.4931507,0.0303,0.0792,1604,-0.0595,-0.08,589404,-0.0515,-0.0449,58,0.16,-0.1944,0.0545,-0.0093,-0.0364
201802,91910,"chula vista, ca",nan,555050,-0.0254,0.1213,47,-0.1897,-0.2419,23.5,-0.2985,-0.2419,32,-0.3333,-0.2,4,nan,nan,12,-0.25,-0.4,3,0.5,-0.5714,309.1190549,-0.0011,0.0675,1705.5,-0.0435,0.0299,621414,0.0057,0.1332,50,-0.1667,-0.2754,0.0638,0.0293,-0.0491
201802,92110,"san diego, ca",nan,587550,0.0398,-0.1571,29,-0.0333,0.16,27.5,-0.1791,-0.0678,28,0,0.4,0,nan,nan,4,-0.5,-0.5,0,-1,-1,440.7811353,0.0737,0.0985,1431.5,0.1097,-0.008,735536,0.1805,0.0962,29,-0.0645,0.0357,0,-0.0333,-0.12
201801,92110,"san diego, ca",nan,565050,0.018,-0.052,30,-0.0625,0.2,33.5,0.0469,-0.0563,28,0.1667,0.1667,0,nan,nan,8,-0.3333,nan,1,0,-0.6667,410.5392157,-0.0076,0.0183,1290,0.0969,-0.019,623065,0.0293,0.0015,31,-0.0606,0.1071,0.0333,0.0021,-0.0867
201801,91910,"chula vista, ca",nan,569500,-8.00E-04,0.1852,58,0.1154,-0.1077,33.5,0.0152,-0.141,48,0.7143,-0.25,0,nan,-1,16,0.3333,0.3333,2,0,-0.7143,309.4507223,-0.0198,0.0763,1783,0.016,0.1186,617883,-0.0527,0.2172,60,0.1111,-0.1667,0.0345,-0.004,-0.0732
201712,92110,"san diego, ca",nan,555050,0.1822,-0.0513,32,-0.1351,0,32,0.3333,-0.2558,24,-0.1429,2,0,nan,nan,12,0,2,1,nan,-0.6667,413.6690647,0.0234,0.0471,1176,0,-0.1057,605337,0.0325,-0.0011,33,-0.1081,-0.0571,0.0313,0.0313,-0.0625
